"","quad_ctrl_1","quad_ctrl_2","quad_ctrl_3","quad_ctrl_4","quad_ctrl_5","quad_ctrl_6","quad_KO_1","quad_KO_2","quad_KO_3","quad_KO_4","quad_KO_5","quad_KO_6","sol_ctrl_1","sol_ctrl_2","sol_ctrl_3","sol_ctrl_4","sol_ctrl_5","sol_ctrl_6","sol_KO_1","sol_KO_2","sol_KO_3","sol_KO_4","sol_KO_5","sol_KO_6"
"10517301",6.36024179230888,6.57685182234802,6.60793620292497,6.43057104460334,6.44302912337973,6.7186971498387,7.65670733165186,7.39184797875505,7.80681562472907,7.80016690270197,7.21973584224188,7.57143149813764,6.43466171793489,6.33471055323302,6.49121466725777,6.24343190539307,6.21777500375441,6.69110024307987,6.9657965597302,7.0076492361935,7.01180772813787,6.99077042172902,6.77740387641597,6.68554197143299
"10585180",3.91454337859696,3.68839610790445,4.04236387965477,4.21078255867456,3.84088436921662,4.02051948032732,4.51323549535136,3.8028462523453,4.5403737062367,4.55525532797329,4.09713506484003,4.74765782173061,4.46552646607174,4.59750737666855,4.17853505521082,4.23894620319271,4.35809426155115,4.10537211704451,5.1251515414591,4.99229609453304,5.05212711515767,4.64652163318883,5.03512727257383,4.8685953670489
"10417013",8.40200654704754,8.71164222625122,8.76279070979438,8.38692180788867,8.26845346623637,8.91470531648067,8.57596762330608,8.89040398767251,8.56365856152057,8.88258655608736,8.49306814336849,8.66127955048873,8.00929090508653,8.68776922394914,8.70282127502777,8.38992524850828,8.21770875442748,8.48728465031264,8.24288999776301,8.33880195129728,8.18256975495424,8.52801096865792,7.99940373710684,8.36710465600757
"10453676",5.03837972053364,4.8458485636151,4.58587174547719,5.29771481220704,4.81905464302695,4.91852097779907,5.25382512947238,4.67260374873453,5.16429212119404,4.69073475303336,4.8514272825812,4.96777444566437,5.34378432944376,5.30668923934233,5.56456563215004,5.42979364515275,5.69729474288928,5.69173065805598,5.41514494890285,5.15050904421365,5.17956630195087,5.34635357417961,5.03901751263096,5.02497164257769
"10605917",3.30345708638425,3.31504434945129,2.97984308616551,3.19802101233037,2.72530506974458,2.78230924551666,3.07272531403519,2.90934584724872,2.92565402272717,2.78511432724438,2.85956647571044,2.88758583073481,3.60035459394259,3.16830370464874,3.37722413847068,3.56337001628158,3.42533024123232,3.25934005319839,2.99714717787283,2.98661257590189,3.38374356211826,3.33268990951302,2.82464746456147,3.14553142698277
"10498990",4.5422084797559,4.53802758458531,4.21210570785965,4.85081361450358,4.28264761567695,4.19768523520417,4.19000938638019,4.25848733462779,4.51509683993844,4.10073354797927,4.06840374037093,4.19126639936024,4.72864345068752,4.21910528829135,4.68013432160664,4.64000911647597,4.49205663811169,4.61572387632243,4.84200728366431,4.55163307952557,4.60248274444255,4.61932732731103,4.37492242367442,4.43737547573427
"10436781",3.97765758015592,3.88999829741349,4.11196793540991,3.81747232983263,3.45421211724198,3.39675199406605,3.73828882266748,3.53371974744537,4.24370949784355,3.58874332476546,3.59696440839866,3.8798902089705,4.39333254643788,4.03616976049088,3.82342195299319,4.14379136871607,3.95187663644485,3.86889945748898,4.01713689648246,3.73291514301476,3.91028792498217,3.87339214188851,3.54638724749107,3.89798829929355
"10369102",7.84496200128952,9.11381140617003,8.83709353446809,9.15096806478228,8.31179335156396,9.40545326912456,7.99600376987241,7.66460772681422,7.9178992091584,8.31378622028139,8.594067883737,8.72886060165152,8.01571253243176,9.01608009603045,8.72205236109159,9.17213782592565,9.27113782725844,9.23401401720123,8.49043095339886,8.0842884052574,8.23097094874951,8.69809775442345,9.02770238369035,9.36508977408047
"10589464",3.67102533225365,3.99435676021544,3.5786737623073,4.09364463478645,3.83929722624094,4.36562116795277,4.00189587528008,4.21210332569752,3.70076540605338,3.90360890274212,3.98539416223024,4.08308703869125,3.8681429847334,4.25856693652031,4.00528611048353,4.45618440122509,4.32203196148331,3.78580195972268,4.29456855053686,4.01201128785758,3.92788092840752,4.40832884750134,4.27625488377686,4.20312172626409
"10472418",2.61202024510724,2.55646412749605,2.68209803079029,2.82612175138919,2.61283270164026,2.57959223125305,2.56705399097132,2.62516684385172,3.04421411293435,2.31697314055686,2.51724024756373,2.52766075210502,2.99103168805791,3.130411013343,3.30392370641123,3.04541287398237,3.07390964893675,2.87634004550672,2.57138702677971,3.05340854733207,3.23591799968648,2.84680762764986,2.91153737223284,2.93364615867074
"10453555",5.73385949681001,5.97217017568853,5.49387322601654,6.64771329600173,5.81949333686016,5.93162588542761,5.96773688678785,6.0000446231918,5.11309106758983,5.82964925054847,6.2063226098689,5.66056897662633,5.0012444971792,6.06195310492031,5.64931519351534,6.36010419470846,6.53933673132022,6.03028617121118,4.92093613515982,5.79716738524465,5.4428410434164,6.11721690228893,5.95377756306312,5.3487600321464
"10368700",4.70054392488653,5.16432591175416,4.92073468024656,4.9374487347774,5.18028168482461,5.19142772350577,4.43571545386633,4.66024972156901,4.13390445275719,4.61070215956648,4.60418445750433,4.51281215854764,4.68139448076954,5.45107608843905,5.59899333263302,4.54976142089742,4.59760253789299,5.0728925558015,4.2811455472159,4.61645112543025,4.12729790939077,4.37677135081625,3.87633699788793,4.18435990732449
"10402783",4.78293596720775,5.01340504832574,5.27258634162683,5.0038946344242,4.8056733871519,5.38911096991937,6.12491440095563,6.22765341941374,6.25123565606626,6.40823472787902,6.67962497858634,6.94379785433436,5.29314113766372,5.1670584177613,5.44696642303163,5.28718526997518,5.52799329874524,5.68027937971188,5.97186854526026,6.11725336899074,6.52781258264506,6.2651580824395,6.64242581281651,6.67342747270307
"10417269",4.77258960166924,4.25833097271777,4.41044233391502,4.08183397776028,4.68597084013985,4.75301182762334,5.09786070886966,4.8166732558905,4.33145415032791,5.05318633463731,5.40879780067394,4.23960651794436,5.14252120948944,5.23427933204283,4.60602878858007,4.68349598319416,5.46563489068139,4.57077660581671,4.97147021841498,4.56400121995726,4.79596680341387,5.18296407798956,5.51232316297031,4.58181995698706
"10510159",1.97077740902236,2.36829536545969,1.96045714457563,2.33482074081802,2.83626544512994,2.93492126483084,2.2667861040206,1.9807310804745,2.37198837773003,1.96525867693987,2.48002959612122,2.35342779941391,2.57018232543635,3.00638417764028,2.82122748177105,2.68882671858001,2.69421105409826,2.69283243316034,2.31026975126415,2.52180157451629,2.46667548841225,2.11947323698446,2.42533986421599,2.64117343044199
"10412488",4.95427447805071,4.51605569531178,4.29473444590864,4.08708935934336,4.6228755714547,5.20461093476796,5.47103489857255,5.31476611349067,4.98474867243465,5.19632470175205,5.69896062722018,4.8301911133547,5.2686988084992,5.48284068847475,4.83772430325986,4.5616375981943,5.69382802346549,5.56969442762156,4.29233250418187,5.0612077470499,4.96672835827706,5.11361553475524,5.48852858064975,4.93756097551911
"10523746",5.26210743048226,5.19153143164819,4.94767036264116,5.15769024390173,4.97778037820826,5.78826092245688,5.72406294388072,5.38307089033103,5.47776446625819,5.45373951821871,5.83444401235637,5.42154597544453,5.04652893695398,5.56634113280923,5.33381615679104,5.54715468122011,5.86735981991465,5.55408979513444,5.22422101409434,5.25594108973774,5.11757455138701,5.33002038899571,5.12253595753335,5.1048248834481
"10568374",6.66739900537205,6.51086590732559,6.40970582432076,6.02603418024524,6.27255156866682,6.63644518528613,6.97726107029012,6.82808274723924,7.0878626979675,7.09878055799738,6.65434339499984,6.96201556918374,6.70974367646733,6.55920999659293,6.74443330781082,6.73805205594631,6.29540065298743,6.47665998314047,6.96377343135632,6.84538699726621,6.83650651340804,6.93290368663572,6.5802475659678,6.95714906441924
"10479159",4.35724545902667,4.20684855931151,4.20392413864018,4.58961048426282,4.34567854533301,4.20388526780229,4.26027644688534,4.02769564896456,4.19389509299868,3.88079179326706,4.22493816747439,4.33684982091053,4.60984465360167,4.60329859910861,4.59731632492011,4.41845191211068,4.7521242797751,4.68205388465897,4.57821724010575,4.3930618890327,4.57625747454356,4.19388508469806,4.26080961328262,4.35994625124801
"10490169",4.89425356946279,4.89062620268887,4.869690785753,4.91636062321867,4.75070763581214,5.54253963863074,4.92976334296731,5.07650960108809,5.36068274050866,4.98154388568361,5.36469509187392,5.14243349117592,5.48219378182504,5.01326893248998,5.17159951753897,5.0149632187108,5.33360595301938,5.54541841713904,5.21957732479624,5.41125901096787,5.34352100127639,5.29410453833749,5.17568333881005,5.37137684162473
"10368066",3.84305107923865,3.40601713693988,3.18940614929609,3.87449862786626,3.30241190185092,3.46067879048668,3.34875554480435,3.93175619682074,3.85055463461698,3.21489750001414,3.62309475859641,3.97657691228157,3.82561818593875,3.88048454370184,3.39591133165434,3.42288117505433,3.49061367399183,3.3328518395168,3.83130680315159,3.30694080518434,3.45838645649414,3.62194343502811,3.63921702814201,3.90651978155198
"10518812",7.37651546304423,6.06263692844701,6.23515959290371,6.39148122334372,5.9835131704344,7.10946570167054,8.46274631280991,8.45691497988885,8.3668459378171,8.72896917020583,8.64649195039741,8.87196453974994,8.19384909814791,7.83635552187805,7.57451105321891,7.89886156429331,7.71171973193024,7.56221109218186,8.49833423261065,8.60865510477942,8.70565574649443,8.52999497123818,8.56271461125139,8.72891007930048
"10506880",7.91734694903824,7.87706737071102,7.61820964061539,7.88814797857544,8.08460224992216,7.69844302720119,7.79571999674115,7.6649624376466,7.6189914495398,8.11287287473553,7.82812856384226,7.64904975463177,7.49133290904016,7.33169528507726,7.40293195199392,7.182712495845,7.22506920736066,7.38610638190263,7.28703101702655,7.21871716668735,7.0969220346873,7.45418872554718,7.30920932644006,7.27926247695538
"10435791",7.45511254732081,6.59537034057777,6.85425405299068,5.76675903848825,5.80542582143227,7.2808085621805,7.45933725866688,7.3638098854302,7.17889605948557,7.27623184750172,7.39837778785762,7.16777119319691,7.86350904648919,8.67896756701275,8.31259001419778,8.55675054377204,8.48820489773476,7.59577700298776,8.15336597064726,8.35210150669724,8.38221705235842,8.32942418369007,8.00290604546327,7.6622149566477
"10352703",5.43023018410349,4.93096042413632,5.17597912338714,4.92073468024656,5.41887736818522,5.40128054576283,4.66426240470521,4.65632957853198,4.97532214596403,4.56160309230217,4.6102053169108,5.04607021618624,5.3836069717804,5.43924425558033,5.21883942611508,5.26326224033364,5.23130588285919,5.07601004004161,5.07391997400997,4.8139352009969,5.11426244740417,5.43714954395325,4.72400575478172,4.88699019907931
"10406452",4.76193537437794,4.53695988955736,4.72122286414743,4.16280600291679,3.88429424123165,5.09250277419121,4.30478329941699,5.29811413211129,4.50402233830771,4.71944573204414,5.07309073131874,4.41432956041522,4.35713838214479,4.96646210009914,4.38556257933327,4.69342052160384,5.30531337399206,4.96943587809122,4.13521422818838,4.38956083987207,4.22622558519617,4.55056166906194,4.09001836989363,3.94374680762476
"10461162",9.19721940890274,9.70925107148448,10.161053790569,10.5221422736266,9.45405066383423,8.94723847053208,8.58137990441683,8.23571901662958,8.38503169377937,8.3726658488195,8.28742771908694,8.16580937242103,7.10452115443798,7.62014563530714,6.29199502187411,7.3029949065689,6.98721733789009,7.33622703571466,7.70929483697888,7.04120309970747,7.63908771335116,8.02784085015942,6.90092844446624,6.9745829045032
"10510700",5.72461984009657,5.85802502123733,6.10721325024961,5.75919817608763,5.95312387589369,5.8222515544193,6.45970809739089,6.61190861634092,6.36801464828489,6.76260560066163,6.48874643911336,6.32592790110165,6.22642424530486,5.90765360214936,6.1894553522678,5.80231465259461,6.26467718717396,5.797292166772,6.4969040561074,6.52335068316801,6.46294416386929,6.59230218022651,6.45985720316853,6.12351908639185
"10370330",5.21666761409279,4.42013309618238,4.83900328023741,4.51177954168753,4.17603548278826,4.91971011444826,4.33058078645539,4.1170695732896,4.49308555347108,4.0033843206999,4.65484145562496,4.51926888511987,4.45281763410573,4.05701778555167,4.57761416000017,4.4527179904269,4.10068972429857,4.19043438034403,4.87963986385883,4.28881064578803,4.46678877140868,4.45875793108359,3.86129149372109,4.811613558497
